i,h,h_over_pi,ev,time_s,zero_filtered_terms,peak_vram_gb
0,0.0,0.0,1.0,10.108306286856532,1,0.08249088
1,0.08267349088394192,0.02631578947368421,0.9976294040679932,11.76952949585393,1,0.083839488
2,0.16534698176788384,0.05263157894736842,0.986050009727478,12.457748477812856,2,0.088647168
3,0.24802047265182575,0.07894736842105263,0.9576420187950134,12.82928093476221,9,0.104945152
4,0.3306939635357677,0.10526315789473684,0.8941606879234314,13.307687547057867,10,0.126251008
5,0.4133674544197096,0.13157894736842105,0.864487886428833,13.894381513819098,30,0.160922112
6,0.4960409453036515,0.15789473684210525,0.8046263456344604,14.346096656750888,32,0.267949056
7,0.5787144361875934,0.18421052631578946,0.6607048511505127,14.72931884136051,60,0.435643392
8,0.6613879270715354,0.21052631578947367,0.5114777684211731,14.818494364153594,55,0.590352896
9,0.7440614179554773,0.23684210526315788,0.34813493490219116,14.99459601007402,47,0.67419136
10,0.8267349088394192,0.2631578947368421,0.17961116135120392,14.712368917185813,34,0.666948096
11,0.9094083997233612,0.2894736842105263,0.06367701292037964,14.606923701241612,20,0.54871808
12,0.992081890607303,0.3157894736842105,0.013021888211369514,13.839644541963935,1,0.348366336
13,1.074755381491245,0.3421052631578947,0.0014637095155194402,13.210686258040369,1,0.1745664
14,1.1574288723751869,0.3684210526315789,0.0,8.721889121923596,0,0.075611136
15,1.2401023632591288,0.39473684210526316,0.0,5.734810402151197,0,0.027562496
16,1.3227758541430708,0.42105263157894735,0.0,5.19264504685998,0,0.010744832
17,1.4054493450270127,0.4473684210526316,0.0,4.370449228212237,0,0.003365888
18,1.4881228359109546,0.47368421052631576,0.0,4.013324009254575,0,0.001399296
19,1.5707963267948966,0.5,0.0,3.371477864217013,0,0.000472576
