i,h,h_over_pi,ev,time_s,zero_filtered_terms,peak_vram_gb
0,0.0,0.0,1.0,9.239298653003061,1,0.010541439056396484
1,0.08267349088394192,0.02631578947368421,0.9976294040679932,10.287069245998282,1,0.011797428131103516
2,0.16534698176788384,0.05263157894736842,0.986050009727478,11.0282053599949,2,0.01627492904663086
3,0.24802047265182575,0.07894736842105263,0.9576430320739746,11.202851868001744,9,0.031912803649902344
4,0.3306939635357677,0.10526315789473684,0.8941606879234314,11.74459723898326,10,0.07113885879516602
5,0.4133674544197096,0.13157894736842105,0.864487886428833,12.383996202988783,30,0.14075422286987305
6,0.4960409453036515,0.15789473684210525,0.8046263456344604,12.934592392994091,32,0.24954700469970703
7,0.5787144361875934,0.18421052631578946,0.6607048511505127,13.59288729299442,60,0.40572452545166016
8,0.6613879270715354,0.21052631578947367,0.5114777684211731,14.099042145011481,55,0.5498089790344238
9,0.7440614179554773,0.23684210526315788,0.34813550114631653,14.292842929979088,47,0.6278896331787109
10,0.8267349088394192,0.2631578947368421,0.17961129546165466,13.674468576995423,34,0.6211438179016113
11,0.9094083997233612,0.2894736842105263,0.06367701292037964,13.257907838997198,20,0.5110335350036621
12,0.992081890607303,0.3157894736842105,0.013021888211369514,12.846650196006522,1,0.32444143295288086
13,1.074755381491245,0.3421052631578947,0.0014637095155194402,12.152380070998333,1,0.16257762908935547
14,1.1574288723751869,0.3684210526315789,0.0,8.628464180015726,0,0.0704183578491211
15,1.2401023632591288,0.39473684210526316,0.0,5.467832017980982,0,0.025669574737548828
16,1.3227758541430708,0.42105263157894735,0.0,4.945940960024018,0,0.010006904602050781
17,1.4054493450270127,0.4473684210526316,0.0,4.415869209973607,0,0.0031347274780273438
18,1.4881228359109546,0.47368421052631576,0.0,4.056410661985865,0,0.0013031959533691406
19,1.5707963267948966,0.5,0.0,3.4368909579934552,0,0.0004401206970214844
